,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,Level
0,12083,43.9,80.6,100,0,0,0,0,0
1,17438,39.6,67.1,97.5,0.3,0.6,0.2,0.8,0
2,17614,42.3,98.4,96.5,0.1,0.4,0.6,1.9,0
3,18085,50.3,70.5,7,89.2,0.3,0.1,2.2,0
4,19403,33.1,70.5,87.8,8.3,0.1,0.5,1.1,0
5,19409,52.3,65,31.3,66.6,0.1,0.4,1.2,0
6,19520,45.8,81.1,0.9,98,0.1,0.1,0.5,0
7,19931,23,74.4,31.5,60.8,0.2,0.2,8.2,0
8,20625,57.5,67.9,2.6,0.1,95.6,0.4,3.2,0
9,20700,76.4,49.1,54,0.4,2,1.4,70.1,0
10,20962,45.2,74.1,13.6,81.6,0.2,0.3,5.8,0
11,21218,42.3,88.1,77,18,0.5,0.4,1.6,0
12,21298,36.2,77.1,21,70.3,6.4,0,1.6,0
13,21429,37.5,71.2,21.7,76.1,0.2,0,1.6,0
14,21544,25.3,61.6,96.5,0.9,0,0.1,3.4,0
15,21649,29.7,73.3,96.2,1.8,0.4,0.2,1.3,0
16,22014,36.4,78.1,10,75.8,0.3,0.9,19,0
17,22069,25.5,89.2,93.8,0.7,1.2,1.6,2.3,0
18,22083,53.1,73.6,58.6,0,30.2,0,3.1,0
19,22273,38,72.6,71.6,25.7,0.1,0.2,1.6,0
20,22414,41.9,77.8,18,80.3,0.2,0.6,0.6,0
21,22841,34.3,83.9,78.7,0.7,2.6,0,43.6,0
22,23641,26.9,66.4,91.3,6.4,0.7,0.8,0.2,0
23,24296,32.3,79.1,72.3,23.3,0.3,1.2,1.6,0
24,24375,48.5,71.8,97.7,0.4,0.8,0.6,0,0
25,24415,35.1,84.7,80,14.6,0.2,0.2,3.1,0
26,24474,47.7,66.6,63.1,0.2,1.3,1,43,0
27,24659,36.3,75.2,15.4,33.2,0.2,1,51.1,0
28,24750,17.5,78.3,80,3.4,10,0,3,0
29,24770,24.5,88.3,87.5,1.9,1,0.9,10.1,0
30,24821,43.7,87.2,98.3,0.1,0.5,0,1.3,0
31,24943,25.2,79.3,64,30.5,0.4,1.8,0.8,0
32,25042,39.9,67.6,17.6,48.1,0.8,2.1,47,1
33,25063,3.7,100,88.7,0,2.8,0,10.2,0
34,25181,36,72.3,42.6,49.5,0.3,0.7,10.2,0
35,25372,46.1,97.8,93.8,0.6,0.2,1.2,5.6,0
36,25607,34.9,64.8,64.6,32.5,0.3,0.3,1.9,0
37,25615,29.1,69.1,54.4,41.4,0.1,1,3.1,0
38,25635,36.6,76.1,45.3,40.9,0.6,0.9,21.6,1
39,25737,36.9,69.6,26.7,38.3,0.6,15.6,30.4,0
40,25763,32.9,74.4,50.7,44.4,0.3,1,5.8,0
41,25764,40.3,78.3,10.6,82.7,0.4,1.1,6.8,1
