lon,lat,type,loctype,address,north,south,east,west
-85.527824,33.098839,locality,approximate,"abanda, al 36276, usa",33.1081859,33.0894911,-85.5118166,-85.54383140000002
-85.2504893,31.5718352,locality,approximate,"abbeville, al 36310, usa",31.6000099,31.5321099,-85.2112729,-85.2957959
-86.9561059,33.6009389,locality,approximate,"adamsville, al, usa",33.6737678,33.52087700000001,-86.89647389999999,-87.045174
-87.1814012,34.2023243,locality,approximate,"addison, al 35540, usa",34.2217961,34.18294789999999,-87.14981689999999,-87.19854389999999
-87.7425105,32.8765165,locality,approximate,"akron, al 35441, usa",32.888734,32.872349,-87.7336019,-87.74966479999999
-86.8163773,33.2442813,locality,approximate,"alabaster, al, usa",33.2717601,33.1672109,-86.752692,-86.8732169
-86.20886689999999,34.2675937,locality,approximate,"albertville, al, usa",34.316804,34.216478,-86.1459579,-86.2744769
-85.9538532,32.944012,locality,approximate,"alexander city, al, usa",32.9963189,32.8456529,-85.8697091,-86.007476
-85.88552299999999,33.7739892,locality,approximate,"alexandria, al, usa",33.798812,33.738756,-85.847,-85.9226019
-88.15141659999999,33.1295681,locality,approximate,"aliceville, al 35442, usa",33.1409801,33.0972739,-88.1350839,-88.1811531
-86.50943149999999,33.9120429,locality,approximate,"allgood, al 35121, usa",33.9181478,33.89571600000001,-86.5029758,-86.53844
-86.3260923,34.0262082,locality,approximate,"altoona, al 35952, usa",34.0492039,34.0134561,-86.2803769,-86.3456209
-86.48329129999999,31.3085039,locality,approximate,"andalusia, al, usa",31.3483899,31.2770949,-86.4302269,-86.52251989999999
-87.266407,34.9284179,locality,approximate,"anderson, al, usa",34.937948,34.883769,-87.25728690000001,-87.28326299999999
-85.8316318,33.6598257,locality,approximate,"anniston, al, usa",33.750917,33.599966,-85.7553669,-85.931236
-86.4958219,34.31814970000001,locality,approximate,"arab, al 35016, usa",34.36571,34.287805,-86.451988,-86.56014379999999
-86.8396032,34.9840722,locality,approximate,"ardmore, al 35739, usa",34.9923559,34.977195,-86.81934299999999,-86.857422
-86.5021814,33.6884778,locality,approximate,"argo, al, usa",33.743563,33.6384191,-86.473592,-86.53963979999999
-85.7188298,31.6001655,locality,approximate,"ariton, al 36311, usa",31.6180661,31.578306,-85.68756789999999,-85.738224
-87.2122325,34.0789929,locality,approximate,"arley, al 35541, usa",34.1143141,34.063978,-87.18610310000001,-87.2314301
-85.23632099999999,31.1829562,locality,approximate,"ashford, al 36312, usa",31.2036201,31.1670601,-85.214541,-85.2593429
-85.83607409999999,33.2737256,locality,approximate,"ashland, al 36251, usa",33.302007,33.2363199,-85.7892339,-85.8812329
-86.2544223,33.8370433,locality,approximate,"ashville, al, usa",33.894519,33.780574,-86.2179051,-86.3044489
-86.9716741,34.8028661,locality,approximate,"athens, al, usa",34.840993,34.6857028,-86.8684179,-87.08572009999999
-87.4938708,31.0237921,locality,approximate,"atmore, al 36502, usa",31.1194069,30.997432,-87.44294699999999,-87.54339
-86.0885852,34.0217639,locality,approximate,"attalla, al, usa",34.040096,33.9681231,-86.0653729,-86.139375
-85.48078249999999,32.6098566,locality,approximate,"auburn, al, usa",32.730713,32.5250929,-85.404466,-85.572597
-86.65470189999999,32.4340249,locality,approximate,"autaugaville, al, usa",32.4477679,32.414527,-86.62403309999999,-86.6886711
-85.2860436,31.1893444,locality,approximate,"avon, al 36312, usa",31.191132,31.1699041,-85.2636979,-85.295164
-88.02726469999999,30.9297926,locality,approximate,"axis, al 36505, usa",30.9521089,30.9099849,-88.00173989999999,-88.042329
-86.3255085,31.2796139,locality,approximate,"babbie, al, usa",31.33286,31.2668559,-86.29731679999999,-86.346256
-86.6127712,34.2623179,locality,approximate,"baileyton, al, usa",34.290856,34.2427281,-86.58631,-86.638133
-85.30217929999999,31.7810167,locality,approximate,"bakerhill, al 36027, usa",31.7970169,31.7494751,-85.25328309999999,-85.325761
-85.808967,34.05874600000001,locality,approximate,"ballplay, al 35903, usa",34.0679895,34.0495015,-85.7929596,-85.8249744
-85.8430034,31.8151585,locality,approximate,"banks, al, usa",31.823574,31.7997449,-85.819104,-85.85873079999999
-87.7730474,30.8829628,locality,approximate,"bay minette, al 36507, usa",30.915061,30.836791,-87.750793,-87.7997079
-88.26071879999999,30.4069515,locality,approximate,"bayou la batre, al, usa",30.443634,30.38087,-88.2255011,-88.295954
-87.7005833,34.2748197,locality,approximate,"bear creek, al, usa",34.302855,34.23459880000001,-87.677024,-87.761172
-87.2047082,31.7334888,locality,approximate,"beatrice, al 36425, usa",31.743092,31.723041,-87.19422879999999,-87.21781790000001
-88.0203075,33.9312162,locality,approximate,"beaverton, al 35544, usa",33.9527701,33.9183448,-88.00401699999999,-88.039689
-87.8658449,34.474602,locality,approximate,"belgreen, al 35653, usa",34.4837999,34.4654031,-87.8498375,-87.88185229999999
-87.9314109,33.647611,locality,approximate,"belk, al, usa",33.670389900000004,33.630192,-87.9169308,-87.939019
-88.1331964,32.4490002,locality,approximate,"bellamy, al, usa",32.477596,32.4433229,-88.104427,-88.1550479
-88.1120531,30.4883965,neighborhood,approximate,"bellfontaine, theodore, al 36582, usa",30.501489,30.4795891,-88.0990819,-88.12372789999999
-86.8177608,32.3068054,locality,approximate,"benton, al, usa",32.313513,32.3023241,-86.810802,-86.82320399999999
-87.6000098,33.6598332,locality,approximate,"berry, al 35546, usa",33.696601,33.6301659,-87.58341200000001,-87.639099
-86.954437,33.4017766,locality,approximate,"bessemer, al, usa",33.449874,33.300185,-86.8560919,-87.0712861
-86.717761,32.6595749,locality,approximate,"billingsley, al 36006, usa",32.669646,32.6517271,-86.6963509,-86.72696409999999
-86.8103567,33.5185892,locality,approximate,"birmingham, al, usa",33.6787149,33.3837599,-86.57814979999999,-87.1221241
-85.7443772,31.0093468,locality,approximate,"black, al 36314, usa",31.0247619,30.9958611,-85.725807,-85.75917910000001
-86.5911026,34.0814863,locality,approximate,"blountsville, al 35031, usa",34.1080849,34.0461321,-86.563998,-86.60813900000001
-86.1905228,32.4926352,locality,approximate,"blue ridge, al 36093, usa",32.525888,32.4690199,-86.157816,-86.21361309999999
-85.5066063,31.6637769,locality,approximate,"blue springs, al, usa",31.675109,31.652,-85.487651,-85.5211838
-86.15209689999999,34.2031662,locality,approximate,"boaz, al, usa",34.2374269,34.16023090000001,-86.10562000000002,-86.19411889999999
-88.02890719999999,32.7559654,locality,approximate,"boligee, al 35443, usa",32.8044489,32.740037,-88.005766,-88.04080979999999
-86.3355323,33.2637246,locality,approximate,"bon air, al, usa",33.2695961,33.2551669,-86.31971,-86.3445479
-87.7294316,30.3154785,locality,approximate,"bon secour, al 36511, usa",30.3251103,30.3058458,-87.71342419999999,-87.74543899999999
-87.28138,32.0779234,locality,approximate,"boykin, al 36720, usa",32.0873774,32.0684684,-87.2653726,-87.29738739999999
-86.2571786,31.5823832,locality,approximate,"brantley, al 36009, usa",31.596704,31.567809,-86.239846,-86.2740709
-86.738666,33.505367,establishment,rooftop,"147 glenhill dr, birmingham, al 35213, usa",33.5067159802915,33.5040180197085,-86.73731701970848,-86.74001498029149
-87.1647184,32.9373463,locality,approximate,"brent, al, usa",32.983407,32.908008,-87.1486599,-87.2047439
-87.0721918,31.1051779,locality,approximate,"brewton, al 36426, usa",31.1696241,31.039148,-87.0390099,-87.1242109
-85.7144155,34.9475807,locality,approximate,"bridgeport, al 35740, usa",34.986726,34.916081,-85.695081,-85.786345
-86.9472148,33.4342755,locality,approximate,"brighton, al 35020, usa",33.449756,33.425209,-86.928749,-86.9578569
-87.7583574,34.0253797,locality,approximate,"brilliant, al, usa",34.037017,33.974427,-87.74583009999999,-87.802595
-86.24680149999999,34.102542,locality,approximate,"bristow cove, al 35956, usa",34.1117807,34.0933023,-86.2307941,-86.2628089
-86.6805421,33.4301076,locality,approximate,"lake purdy, al 35242, usa",33.4519619,33.417928,-86.6664571,-86.70997190000001
-86.9166611,33.6378825,locality,approximate,"brookside, al, usa",33.6579861,33.607203,-86.8709669,-86.93417
-87.3208336,33.2556719,locality,approximate,"brookwood, al, usa",33.2948399,33.188482,-87.264568,-87.375272
-85.52098099999999,34.360664,locality,approximate,"broomtown, al 35973, usa",34.3698744,34.3514526,-85.50497360000001,-85.5369884
-85.81605669999999,31.7201615,locality,approximate,"brundidge, al, usa",31.74163789999999,31.688026,-85.7894489,-85.855187
-88.0248275,31.0097328,locality,approximate,"bucks, al 36512, usa",31.02449099999999,31.0072621,-88.019853,-88.02868579999999
-88.2219652,32.0895908,locality,approximate,"butler, al 36904, usa",32.1264919,32.067835,-88.183453,-88.25546489999999
-86.7535975,33.1028965,locality,approximate,"calera, al, usa",33.183742,33.0613679,-86.664757,-86.802072
-88.0099997,31.1551748,locality,approximate,"calvert, al 36560, usa",31.164723,31.1456257,-87.9939923,-88.0260071
-87.2905456,31.9909813,locality,approximate,"camden, al 36726, usa",32.0208991,31.987618,-87.26812,-87.319408
-85.65356589999999,32.8004059,locality,approximate,"camp hill, al 36850, usa",32.8223309,32.778146,-85.6274959,-85.68215289999999
-87.52612359999999,33.89177420000001,locality,approximate,"carbon hill, al 35549, usa",33.917197,33.8665959,-87.492762,-87.5450919
-86.93360609999999,33.6456604,locality,approximate,"cardiff, al 35073, usa",33.6513169,33.6427599,-86.926475,-86.93503609999999
-86.1127527,34.0892628,locality,approximate,"rockledge, al 35954, usa",34.098503,34.0800216,-86.0967453,-86.1287601
-87.8455522,31.343224,locality,approximate,"carlton, al 36545, usa",31.3527532,31.3336939,-87.8295448,-87.86155959999999
-86.5277351,31.2407285,locality,approximate,"carolina, al 36420, usa",31.244526,31.2262269,-86.510875,-86.5311859
-88.0950263,33.2617871,locality,approximate,"carrollton, al 35447, usa",33.276708,33.2471551,-88.07744100000001,-88.1127209
-87.0224721,31.2990599,locality,approximate,"castleberry, al 36432, usa",31.316,31.287133,-87.015742,-87.0391909
-87.4705597,32.1839987,establishment,rooftop,"17721 al-5, catherine, al 36728, usa",32.18534768029149,32.18264971970849,-87.4692107197085,-87.4719086802915
-85.6077402,34.2200942,locality,approximate,"cedar bluff, al 35959, usa",34.2421121,34.2014051,-85.5490899,-85.6428269
-86.68360009999999,33.6456583,locality,approximate,"center point, al 35215, usa",33.6735831,33.6185429,-86.64988799999999,-86.71673
-85.67885310000001,34.1520406,locality,approximate,"centre, al 35960, usa",34.1919211,34.1223279,-85.62755779999999,-85.7482029
-87.1386067,32.9445682,locality,approximate,"centreville, al 35042, usa",32.999211,32.9305529,-87.075755,-87.1684251
-88.2544557,31.4651653,locality,approximate,"chatom, al 36518, usa",31.49404,31.442804,-88.194273,-88.2797889
-86.6302625,33.3401108,locality,approximate,"chelsea, al, usa",33.3766531,33.275509,-86.5483539,-86.7226379
-87.9728143,34.7570342,locality,approximate,"cherokee, al 35616, usa",34.7714689,34.7454011,-87.953328,-87.9841989
-88.0747222,30.7637991,locality,approximate,"chickasaw, al, usa",30.79174979999999,30.753335,-88.0480039,-88.10118779999999
-86.3549774,33.2781686,locality,approximate,"childersburg, al, usa",33.3568641,33.209297,-86.295694,-86.3951589
-85.70443159999999,33.6595939,locality,approximate,"choccolocco, al 36207, usa",33.7050191,33.632408,-85.683708,-85.746729
-88.2005597,30.9218505,locality,approximate,"chunchula, al 36521, usa",30.9314221,30.9122779,-88.184552299999993,-88.21656709999999
-88.2280622,31.0907338,locality,approximate,"citronelle, al 36522, usa",31.144025,31.041404,-88.17519589999999,-88.3260579
-86.6294262,32.8387371,locality,approximate,"clanton, al, usa",32.8996098,32.7870549,-86.55967690000001,-86.683047
-87.806343,30.48516799999999,locality,approximate,"clay city, al 36532, usa",30.494783,30.47555199999999,-87.79033559999999,-87.82235039999999
-85.7227118,31.2357293,locality,approximate,"clayhatchee, al 36322, usa",31.26446,31.22774699999999,-85.6795389,-85.73545709999999
-85.44966269999999,31.8782162,locality,approximate,"clayton, al 36016, usa",31.905825,31.8607959,-85.4154719,-85.4769369
-86.5774905,33.9909316,locality,approximate,"cleveland, al, usa",34.0228671,33.9709939,-86.54943800000001,-86.59656
-85.6104972,31.7087753,locality,approximate,"clio, al, usa",31.734728,31.675524,-85.5675189,-85.653995
-87.340834,33.1590078,locality,approximate,"coaling, al 35453, usa",33.178581,33.15006400000001,-87.318574,-87.387767
-85.871588,34.0840218,establishment,rooftop,"1140 pulltight rd #1134, gadsden, al 35901, usa",34.0853707802915,34.0826728197085,-85.8702390197085,-85.87293698029151
