geographic_area,city,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Abanda CDP,11207,78.8,21.2,67.2,30.2,0,0,1.6
AL,Abbeville city,25615,29.1,69.1,54.4,41.4,0.1,1,3.1
AL,Adamsville city,42575,25.5,78.9,52.3,44.9,0.5,0.3,2.3
AL,Addison town,37083,30.7,81.4,99.1,0.1,0,0.1,0.4
AL,Akron town,21667,42,68.6,13.2,86.5,0,0,0.3
AL,Alabaster city,71816,11.2,89.3,79.4,13.5,0.4,0.9,9
AL,Albertville city,32911,26.7,72.7,75.9,1.9,0.8,0.5,27.9
AL,Alexander City city,29874,30.4,78.1,62.2,32,0.2,0.9,4.8
AL,Alexandria CDP,56058,9.7,88.8,87.4,10.2,0.3,0.5,0.9
AL,Aliceville city,21131,41.3,74.3,22.6,74.9,0.1,0,1.2
AL,Allgood town,42009,27.7,48.1,79.6,0.6,0.3,0.6,49.4
AL,Altoona town,27566,27.5,66.9,95.8,1.7,0.2,0.2,1.1
AL,Andalusia city,31968,24.5,81.1,70.5,25.9,0.4,1,1.9
AL,Anderson town,34792,13.8,85.7,97.9,0,0.4,0,0.7
AL,Anniston city,29681,31.7,79.8,44.7,51.5,0.3,0.8,2.7
AL,Arab city,40292,16.7,87.6,96.6,0.1,0.6,0.7,1.7
AL,Ardmore town,35670,19.1,77.7,94.3,1.9,0.8,0.9,1.3
AL,Argo town,57212,8.6,87.5,94.1,3.6,0.4,0.3,0.5
AL,Ariton town,24286,37.6,71.3,78.3,19.2,0,0.1,6
AL,Arley town,28750,31.6,80.6,94.4,0,0.6,0.3,1.4
AL,Ashford town,42704,18.8,83.5,79,19.5,0.2,0.2,0.8
AL,Ashland town,31438,22.4,77.9,71.5,24.1,0.3,0.7,5.7
AL,Ashville city,40547,28.3,77.6,75.8,20.3,0.2,0.3,3.8
AL,Athens city,47542,13,83.4,73,17.5,0.6,0.9,8.8
AL,Atmore city,26775,24.7,73.7,40,55.6,1.8,0.3,1.8
AL,Attalla city,37191,20.3,76,81.5,12.7,0.4,0.5,4.7
AL,Auburn city,38342,31.8,94.3,75.1,16.5,0.3,5.3,2.9
AL,Autaugaville town,24833,24.1,71.2,31.3,66.8,0.2,0,0.8
AL,Avon town,40417,22.2,82.8,94.7,1.8,1.8,0,1.3
AL,Axis CDP,55750,6.8,79.9,66.8,26.9,3.2,0.1,0.9
AL,Babbie town,41912,15.7,81.2,96.7,0,0,1.5,0.2
AL,Baileyton town,31875,28.6,74.7,96.2,0.2,0.5,0,1.5
AL,Bakerhill town,31875,19.1,72.4,61.6,35.5,0.7,0,1.1
AL,Ballplay CDP,37778,7.1,80.3,97.5,0.1,0.7,0.3,1
AL,Banks town,28750,38.2,73,69.3,24.6,2.2,0,1.1
AL,Bay Minette city,31576,26.3,79.1,60.4,35.3,1,0.8,1.8
AL,Bayou La Batre city,34583,30.1,58.5,60.3,12.3,0.4,22.8,2.8
AL,Bear Creek town,35563,25.3,76.7,97.1,0.1,0.7,0.2,1.8
AL,Beatrice town,18417,44.9,89.1,23.6,76.1,0.3,0,0
AL,Beaverton town,31875,8.1,87.9,95,5,0,0,1
AL,Belgreen CDP,27750,28.8,87,96.1,0,0,0,3.9
AL,Belk town,28906,39.1,63.8,95.8,2.8,0,0.5,0.9
AL,Bellamy CDP,22132,42.9,86.5,8.3,90.8,0,0.9,1.3
AL,Belle Fontaine CDP,34615,36.7,91.9,92.3,1.6,0.5,2.3,3.6
AL,Benton town,(X),0,100,81.6,18.4,0,0,0
AL,Berry town,25865,30.9,65.4,90.8,7.4,0,0,0.8
AL,Bessemer city,29615,32.9,81.5,24.3,71.2,0.3,0.2,4.1
AL,Billingsley town,41250,20.5,71.3,86.1,11.1,2.1,0,0.7
AL,Birmingham city,31061,30.9,85.1,22.3,73.4,0.2,1,3.6
AL,Black town,41071,12.7,90,92.3,6.3,0,0,0
AL,Blountsville town,30152,41.2,73.1,87.3,0.7,1,0.4,15.3
AL,Blue Ridge CDP,96333,0.5,97.6,94.5,2.7,0.7,0.9,1
AL,Blue Springs town,45313,4,95.6,92.7,6.3,0,1,3.1
AL,Boaz city,35974,19.4,76.6,87.3,1.8,0.4,0.7,14.2
AL,Boligee town,12173,60.3,79.9,8.8,90.2,0,0,0.3
AL,Bon Air town,23750,47.6,85.7,80.2,6.9,2.6,0,2.6
AL,Bon Secour CDP,(X),18.2,79,NA,NA,NA,NA,NA
AL,Boykin CDP,(X),53.7,53.7,4,95.3,0,0,0.7
AL,Brantley town,27870,20.7,75.1,56.1,38.8,0.6,0.5,2
AL,Brantleyville CDP,40370,19.2,85.1,82.1,3.3,0.9,0.5,12.6
AL,Brent city,33924,17.3,73.8,45.1,53.5,0.1,0,2.1
AL,Brewton city,31033,27.8,84.5,54.1,42.6,0.7,0.4,2.2
AL,Bridgeport city,28571,34.7,74.9,84,8.6,1.9,0.2,1.7
AL,Brighton city,22146,33,78.6,6.5,81,1,0,13.8
AL,Brilliant town,25893,22.5,75.9,98.3,0.2,0.1,0.1,1.6
AL,Bristow Cove CDP,(X),39.7,65.1,91.1,0,1.5,0.1,6.6
AL,Brook Highland CDP,60212,11.5,96.2,73.6,16.2,0.2,4.4,7.8
AL,Brookside town,34554,19.2,78.7,79.5,18.5,0.3,0.1,0.7
AL,Brookwood town,51515,10.8,83.1,92.2,5.3,0.7,0.1,2
AL,Broomtown CDP,28750,23.8,66.2,98.4,1.6,0,0,0
AL,Brundidge city,23819,32.4,77.2,34.1,62.9,0.5,0.6,3
AL,Bucks CDP,-,0,100,59.4,31.3,3.1,0,3.1
AL,Butler town,28950,25.3,80.2,71.4,26.7,0.2,0.2,0.7
AL,Calera city,62893,5.8,89.1,71.2,23,0.2,0.6,5
AL,Calvert CDP,-,79.4,22.8,53.1,35.4,6.9,0,2.2
AL,Camden city,28375,31.9,82.8,42,57.4,0.1,0,0.7
AL,Camp Hill town,25118,36.6,76.6,10.2,88.4,0.1,0.1,0.7
AL,Carbon Hill city,25990,32.2,65.4,89.4,8.2,0.2,0.1,1.2
AL,Cardiff town,(X),30,72.7,94.5,5.5,0,0,0
AL,Carlisle-Rockledge CDP,35938,17.2,73.1,95,0.9,0.9,0.1,3.1
AL,Carlton CDP,(X),18.9,77,66.2,33.8,0,0,3.1
AL,Carolina town,50278,7.4,87.8,96.6,0.3,0.3,0,0
AL,Carrollton town,27857,29.1,71,49,43.1,0.1,0,10.4
AL,Castleberry town,20677,39.6,75.9,59.2,38.4,0.3,0,0.5
AL,Catherine CDP,-,0,100,72.7,27.3,0,0,0
AL,Cedar Bluff town,36389,25.8,77.9,86.2,9.9,0.7,0.3,1.2
AL,Center Point city,39944,25,87.1,32.6,62.9,0.2,0.4,4.8
AL,Centre city,31268,25.1,76.7,87,9.9,0.4,0.3,1.2
AL,Centreville city,41103,22.4,81.6,72.2,23.7,0.3,0.4,3
AL,Chatom town,35365,19.8,76,68.2,31.1,0,0,0.6
AL,Chelsea city,85757,4.9,93.5,89.5,5.7,0.3,2,3.2
AL,Cherokee town,28359,19.9,80.9,77.6,18.3,0.5,0.3,1.7
AL,Chickasaw city,30973,33.6,79.9,63,33.6,0.8,0.5,2.3
AL,Childersburg city,25948,38.6,78.8,60.1,36.9,0.4,0.5,1.3
AL,Choccolocco CDP,54825,14.7,89.4,87.5,7.2,0.3,0.7,4.3
AL,Chunchula CDP,(X),0,91.2,45.7,51.9,0,0,0.5
AL,Citronelle city,48125,16.9,82.5,70.7,20.2,4.9,0.5,2.6
AL,Clanton city,39823,16.9,76.8,74.9,19.1,0.3,0.6,6
AL,Clay city,68717,6.6,92.2,84.1,13.3,0.3,0.6,1.3
AL,Clayhatchee town,32656,16.4,85.3,94.9,1.7,0.3,0.3,2.4
AL,Clayton town,25203,29.3,57.8,35.8,63.8,0,0,0.6
AL,Cleveland town,40909,15,74.4,89.2,0.3,0.2,0.3,18.4
AL,Clio city,19539,31.4,63.1,32,36.5,0.4,0.5,36
