city,state,place,lon,lat
Franklin County,MO,"Franklin County, MO",-91.13530200000001,38.3953601
Evangeline Parish,LA,"Evangeline Parish, LA",-92.38136209999999,30.7821781
Gunlock,KY,"Gunlock, KY",-82.9259979,37.547597
Weymouth,MA,"Weymouth, MA",-70.94103559999999,42.2180724
Winslow,NJ,"Winslow, NJ",-74.8623203,39.6573556
Sunset,TX,"Sunset, TX",-97.76669989999999,33.4520535
Anchorage,AK,"Anchorage, AK",-149.9002778,61.2180556
Orange County,FL,"Orange County, FL",-81.2518833,28.4844995
Smyrna,ME,"Smyrna, ME",-68.1203515,46.1644547
Whitehaven,TN,"Whitehaven, TN",-90.04185969999999,35.0353049
Colton,OR,"Colton, OR",-122.4374803,45.1721192
Boise,ID,"Boise, ID",-116.2023137,43.6150186
Gaston County,NC,"Gaston County, NC",-81.20781640000001,35.2895651
Eaton Rapids Township,MI,"Eaton Rapids Township, MI",-84.75244819999999,42.5681472
Tewksbury,MA,"Tewksbury, MA",-71.23422479999999,42.6106478
Roxand Township,MI,"Roxand Township, MI",-84.87763919999999,42.729993
St Louis,MO,"St Louis, MO",-90.19940419999999,38.6270025
La Paz County,AZ,"La Paz County, AZ",-113.9536466,34.0061091
Barton,MS,"Barton, MS",-89.68925019999999,34.9639824
Joilet,IL,"Joilet, IL",-88.0817251,41.525031
Putnam Hall,FL,"Putnam Hall, FL",-81.95926349999999,29.73663329999999
Ruth,MS,"Ruth, MS",-90.3164819,31.3815627
Lawrence County,AL,"Lawrence County, AL",-87.30161319999999,34.567428
Red Valley,AZ,"Red Valley, AZ",-109.0603825,36.6039938
Coal County,OK,"Coal County, OK",-96.2800864,34.568577
Clarendon,NY,"Clarendon, NY",-78.06473869999999,43.193393
South Los Angeles,CA,"South Los Angeles, CA",-118.2914872,33.9891116
Wilmington,CA,"Wilmington, CA",-118.2643567,33.7857948
Jasper,OH,"Jasper, OH",-83.05656789999999,39.05007
Carollwood,FL,"Carollwood, FL",-82.4996398,28.0507738
Hamilton,NJ,"Hamilton, NJ",-74.6796651,40.2115109
Jefferson County,ID,"Jefferson County, ID",-112.2493671,43.7640903
Pottawatomie County,OK,"Pottawatomie County, OK",-97.0068393,35.275439
Straban Township,PA,"Straban Township, PA",-77.1735312,39.8716058
Ca–on City,CO,"Ca–on City, CO",-105.2253316,38.4494063
Queens,NY,"Queens, NY",-73.7948516,40.7282239
Sylmar,CA,"Sylmar, CA",-118.4571974,34.3058279
Rufe,OK,"Rufe, OK",-95.1441197,34.1237158
New York,NY,"New York, NY",-74.0059728,40.7127753
Bunch,OK,"Bunch, OK",-94.7608801,35.6826766
Kings County,CA,"Kings County, CA",-119.8815203,36.0988489
Nashville,TN,"Nashville, TN",-86.7816016,36.1626638
Chavies,KY,"Chavies, KY",-83.3562912,37.3478702
Venice,CA,"Venice, CA",-118.4694832,33.9850469
Honolulu,HI,"Honolulu, HI",-157.8583333,21.3069444
Ft. Lauderdale,FL,"Ft. Lauderdale, FL",-80.13731740000001,26.1224386
Ideal Beach,NJ,"Ideal Beach, NJ",-74.11188349999999,40.4447818
Rockville,GA,"Rockville, GA",-83.2187677,33.3276362
Lyndhurst,NJ,"Lyndhurst, NJ",-74.1243063,40.81201710000001
Okmulgee County,OK,"Okmulgee County, OK",-95.9832577,35.6795873
Wilderville,OR,"Wilderville, OR",-123.4670077,42.382338
Roslindale,MA,"Roslindale, MA",-71.1270268,42.2832142
Ellis County,TX,"Ellis County, TX",-96.83509989999999,32.2619765
Fuqua,TX,"Fuqua, TX",-94.73631519999999,30.4471514
Byram,NJ,"Byram, NJ",-74.7186756,40.9252528
Watsonsville,CA,"Watsonsville, CA",-121.7568946,36.910231
Bronx,NY,"Bronx, NY",-73.8648268,40.8447819
Bexar County,TX,"Bexar County, TX",-98.5721016,29.4200763
Louisville,KY,"Louisville, KY",-85.7584557,38.2526647
Wood Lake,ND,"Wood Lake, ND",-98.8208889,47.8805328
Coney Island,NY,"Coney Island, NY",-73.9707016,40.5755438
Augusta,GA,"Augusta, GA",-82.0105148,33.4734978
York County,VA,"York County, VA",-76.3868797,37.2103925
Edinburg,NY,"Edinburg, NY",-74.1040191,43.2217388
Josephine County,OR,"Josephine County, OR",-123.4568737,42.3447572
Bath,NH,"Bath, NH",-71.96620089999999,44.1670079
Ashe County,NC,"Ashe County, NC",-81.47183869999999,36.4339674
Southington,OH,"Southington, OH",-80.955924,41.30838929999999
Mt. Auburn,OH,"Mt. Auburn, OH",-84.5091102,39.1214868
Studio City,CA,"Studio City, CA",-118.3870991,34.1395597
Powhatan County,VA,"Powhatan County, VA",-77.88245959999999,37.5643209
San Diego County,CA,"San Diego County, CA",-117.1610966,32.7157305
Maui,HI,"Maui, HI",-156.3319253,20.7983626
Antioch,TN,"Antioch, TN",-86.6715948,36.0597177
Staten Island,NY,"Staten Island, NY",-74.1502007,40.5795317
Bolton,CT,"Bolton, CT",-72.4334173,41.7689878
Bloomfield Township,MI,"Bloomfield Township, MI",-83.2827093,42.5793103
Hunters,WA,"Hunters, WA",-118.2022917,48.1171945
Brick Township,NJ,"Brick Township, NJ",-74.1371832,40.0578384
Weitchpec,CA,"Weitchpec, CA",-123.703994,41.18772209999999
Merrimack,NH,"Merrimack, NH",-71.49483219999999,42.8678693
Little Havana,FL,"Little Havana, FL",-80.2377078,25.7776438
West Knox,TN,"West Knox, TN",-83.95518539999999,35.9703599
Panorama City,CA,"Panorama City, CA",-118.442425,34.227617
Washington County,AL,"Washington County, AL",-88.24611829999999,31.3422346
Barberville,FL,"Barberville, FL",-81.420901,29.1872023
Happy Valley,CA,"Happy Valley, CA",-122.4053018,40.4505502
Grayson County,VA,"Grayson County, VA",-81.20781640000001,36.6721195
San Ysidro,CA,"San Ysidro, CA",-117.0470434,32.555556
Van Nuys,CA,"Van Nuys, CA",-118.451357,34.1898566
Old Saybrook,CT,"Old Saybrook, CT",-72.38453009999999,41.2960159
Pinion Hills,CA,"Pinion Hills, CA",-117.6467917,34.433237
Cato Township,MI,"Cato Township, MI",-85.2515482,43.443107
Lakes Charles,LA,"Lakes Charles, LA",-93.2173758,30.2265949
Barrow County,GA,"Barrow County, GA",-83.6986568,34.0142667
Pine Top,KY,"Pine Top, KY",-82.8823826,37.2726002
Kenai Peninsula,AK,"Kenai Peninsula, AK",-151.382264,60.0858486
Point Loma,CA,"Point Loma, CA",-117.2466838,32.70003
Norwood,OK,"Norwood, OK",-95.16388700000002,35.8710708
Pacific Beach,CA,"Pacific Beach, CA",-117.2355851,32.8024577
North Laredo,TX,"North Laredo, TX",-99.5075519,27.5035613
Braxton County,WV,"Braxton County, WV",-80.7214417,38.7023371
Gibson County,TN,"Gibson County, TN",-88.86469799999999,35.9969735
Jurupa Valley,CA,"Jurupa Valley, CA",-117.4854802,33.9971974
Eden,GA,"Eden, GA",-81.3906678,32.173813
Germantown,PA,"Germantown, PA",-75.174598,40.0292648
Leon County,TX,"Leon County, TX",-95.9832577,31.2152685
Whitfield County,GA,"Whitfield County, GA",-84.981754,34.8033566
Little Egg Harbor,NJ,"Little Egg Harbor, NJ",-74.35726460000001,39.6108492
Opa-Locka,FL,"Opa-Locka, FL",-80.25032709999999,25.9023168
