,threat_level
0,attack
1,attack
2,attack
3,attack
4,attack
5,attack
6,attack
7,attack
8,other
9,attack
10,attack
12,attack
14,attack
15,attack
16,attack
17,attack
18,attack
19,attack
21,other
22,attack
23,other
24,attack
25,undetermined
26,attack
27,other
28,attack
29,attack
30,attack
32,other
33,undetermined
34,attack
35,other
36,attack
37,attack
38,undetermined
39,attack
40,attack
41,other
42,attack
43,attack
44,attack
45,attack
46,attack
47,attack
48,attack
50,attack
51,attack
52,attack
53,other
54,attack
55,other
56,attack
57,other
58,attack
60,other
62,attack
64,attack
65,attack
66,attack
67,attack
68,attack
69,attack
70,attack
71,attack
73,attack
74,attack
75,undetermined
76,attack
77,other
78,other
79,attack
80,other
81,undetermined
82,other
83,undetermined
84,attack
85,other
86,attack
89,attack
90,attack
91,attack
92,attack
93,other
94,attack
95,other
96,attack
97,attack
98,attack
99,other
100,other
101,other
102,other
103,other
104,attack
105,other
106,other
107,attack
108,other
109,attack
110,attack
111,attack
112,attack
113,other
114,attack
115,attack
116,attack
117,other
118,attack
119,attack
121,attack
122,attack
123,attack
124,undetermined
125,attack
126,other
127,other
129,other
130,attack
131,other
132,attack
133,other
134,attack
135,attack
138,attack
139,attack
140,other
141,other
142,other
143,other
144,attack
145,attack
147,attack
148,attack
149,attack
150,attack
151,other
152,attack
153,other
154,attack
156,other
157,attack
158,attack
159,attack
160,attack
161,attack
162,other
163,attack
164,attack
165,attack
166,other
168,attack
169,attack
170,attack
171,other
172,other
173,other
174,other
175,attack
176,attack
177,attack
178,attack
179,attack
180,attack
181,other
183,attack
184,other
185,other
186,attack
189,undetermined
190,other
191,attack
192,other
193,attack
194,attack
195,attack
198,attack
199,other
200,other
201,other
202,undetermined
203,attack
204,attack
205,attack
206,other
207,other
208,other
209,attack
210,other
211,attack
213,other
214,attack
215,attack
216,other
217,attack
218,attack
219,attack
220,undetermined
221,attack
222,attack
223,attack
224,attack
225,undetermined
226,attack
227,other
228,attack
229,attack
230,attack
231,other
232,other
233,other
234,attack
236,other
237,other
241,other
242,other
243,attack
245,attack
246,attack
247,other
248,other
249,other
250,undetermined
251,other
252,attack
253,attack
254,attack
255,other
256,other
257,attack
258,other
259,attack
261,attack
262,attack
263,other
264,attack
265,other
266,attack
267,undetermined
